sensor_name,event_date_reg,avg_ax,avg_ay,avg_az,avg_gx,avg_gy,avg_gz,min_ax,min_ay,min_az,min_gx,min_gy,min_gz,max_ax,max_ay,max_az,max_gx,max_gy,max_gz,std_ax,std_ay,std_az,std_gx,std_gy,std_gz,value_predict
sensor_01,2025-10-15 22:11:55,-0.046,0.016,1.003,-2.25,0.148,-1.007,-0.052,0.009,0.99,-2.473,-0.168,-1.29,-0.038,0.022,1.015,-1.908,0.336,-0.573,0.003,0.003,0.005,0.111,0.102,0.142,5
sensor_01,2025-10-15 22:11:53,-0.047,0.016,1.002,-2.234,0.127,-1.026,-0.056,0.007,0.957,-2.496,-0.725,-1.374,-0.034,0.023,1.038,-1.885,0.74,-0.626,0.003,0.003,0.008,0.106,0.161,0.138,5
sensor_01,2025-10-15 22:11:50,-0.047,0.016,1.001,-2.246,0.156,-1.005,-0.055,0.008,0.986,-2.481,-0.13,-1.344,-0.037,0.025,1.014,-2.038,0.458,-0.718,0.004,0.003,0.005,0.087,0.111,0.146,5
sensor_01,2025-10-15 22:11:43,-0.039,0.006,1.002,-2.238,0.145,-1.013,-0.047,-0.002,0.989,-2.496,-0.092,-1.321,-0.032,0.013,1.01,-2.023,0.397,-0.763,0.003,0.003,0.004,0.108,0.114,0.122,5
sensor_01,2025-10-15 22:11:41,-0.039,0.005,1.002,-2.261,0.127,-1.011,-0.045,-0.009,0.973,-4.374,-0.664,-1.267,-0.03,0.014,1.056,-1.29,1.458,-0.687,0.003,0.004,0.008,0.284,0.208,0.133,5
sensor_01,2025-10-15 22:11:34,-0.028,0.017,1.0,-2.217,0.103,-1.023,-0.065,0.007,0.91,-2.878,-2.893,-1.321,-0.009,0.028,1.108,-1.588,3.382,-0.74,0.008,0.004,0.019,0.176,0.58,0.127,5
sensor_01,2025-10-15 22:11:32,-0.027,0.018,1.002,-2.225,0.162,-1.034,-0.034,0.01,0.988,-2.626,-0.084,-1.321,-0.018,0.026,1.032,-1.901,0.656,-0.679,0.003,0.003,0.006,0.117,0.113,0.13,5
sensor_01,2025-10-15 22:11:25,-0.039,0.024,1.002,-2.251,0.161,-1.026,-0.047,0.014,0.988,-2.527,-0.084,-1.351,-0.03,0.034,1.012,-1.962,0.435,-0.771,0.003,0.003,0.005,0.105,0.102,0.127,5
sensor_01,2025-10-15 22:11:22,-0.039,0.024,1.002,-2.237,0.151,-1.024,-0.048,0.017,0.992,-2.473,-0.176,-1.405,-0.031,0.032,1.012,-2.031,0.42,-0.649,0.003,0.003,0.004,0.1,0.117,0.136,5
sensor_01,2025-10-15 22:11:20,-0.04,0.025,1.002,-2.252,0.127,-1.017,-0.047,0.018,0.991,-2.511,-0.122,-1.244,-0.032,0.032,1.015,-1.969,0.45,-0.618,0.003,0.003,0.004,0.105,0.114,0.117,5
sensor_01,2025-10-15 22:09:41,0.023,-0.939,0.131,-1.619,-0.809,-0.954,-0.02,-1.001,0.089,-5.427,-3.969,-7.305,0.071,-0.888,0.178,2.45,3.023,4.046,0.024,0.023,0.02,1.71,2.005,2.864,1
sensor_01,2025-10-15 22:09:38,0.041,-0.936,0.136,-2.329,-0.784,-1.218,-0.007,-1.226,0.025,-15.153,-14.847,-12.412,0.12,-0.771,0.243,5.695,5.366,12.206,0.031,0.068,0.028,3.52,4.374,4.714,1
sensor_01,2025-10-15 22:09:36,0.046,-0.923,0.157,-3.834,7.703,0.436,-0.149,-1.02,0.093,-18.298,-4.336,-15.847,0.227,-0.774,0.223,8.496,30.595,14.87,0.119,0.043,0.027,6.736,9.706,10.01,1
sensor_01,2025-10-15 22:09:27,0.011,-0.938,0.14,-3.29,-1.452,-0.501,-0.019,-1.034,0.082,-9.046,-8.626,-4.397,0.036,-0.858,0.222,4.237,5.16,6.756,0.014,0.036,0.033,3.38,2.969,2.224,1
sensor_01,2025-10-15 22:09:24,0.004,-0.93,0.175,-1.398,13.303,-3.591,-0.108,-1.008,0.095,-8.229,-1.534,-12.824,0.106,-0.872,0.242,4.794,34.0,10.336,0.064,0.028,0.034,3.111,10.349,6.119,1
sensor_01,2025-10-15 22:09:18,0.002,-0.939,0.147,-2.423,-0.077,-0.935,-0.023,-0.975,0.122,-5.405,-5.435,-3.901,0.022,-0.898,0.182,1.237,4.687,3.275,0.01,0.019,0.011,1.486,2.558,1.767,1
sensor_01,2025-10-15 22:09:15,0.016,-0.938,0.14,-2.222,-0.864,-0.971,-0.025,-0.996,0.116,-6.603,-10.565,-6.008,0.064,-0.877,0.167,0.45,6.794,3.191,0.023,0.028,0.011,1.703,4.324,2.194,1
